UF;Município;Região Turística;Domésticos;Internacionais;Estabelecimentos;Empregos;Arrecadação de Impostos;Categoria
AC;Assis Brasil;Caminhos do Pacífico;27.381;0;1;1;0.0;D
AC;Cruzeiro do Sul;Caminhos das Aldeias e da Biodiversidade;24.475;481;11;116;241310.0;C
AC;Epitaciolândia;Caminhos do Pacífico;4.785;0;6;31;0.0;D
AC;Mâncio Lima;Caminhos das Aldeias e da Biodiversidade;0;0;0;0;0.0;E
AC;Marechal Thaumaturgo;Caminhos das Aldeias e da Biodiversidade;20.587;263;0;0;0.0;D
AC;Plácido de Castro;Caminhos da Revolução;0;0;1;2;0.0;D
AC;Porto Acre;Caminhos da Revolução;0;0;0;0;0.0;E
AC;Porto Walter;Caminhos das Aldeias e da Biodiversidade;0;0;1;1;0.0;D
AC;Rio Branco;Caminhos da Revolução;464.108;4.602;30;376;2845034.0;A
AC;Rodrigues Alves;Caminhos das Aldeias e da Biodiversidade;0;0;0;0;0.0;E
AC;Tarauacá;Caminhos das Aldeias e da Biodiversidade;19.114;0;8;30;0.0;C
AC;Xapuri;Caminhos do Pacífico;22.979;0;1;1;0.0;D
AL;Água Branca;REGIÃO CÂNION DO SÃO FRANCISCO;0;0;0;0;0.0;D
AL;Arapiraca;REGIÃO DO AGRESTE;113.137;215;25;202;1126796.0;B
AL;Atalaia;REGIÃO DO QUILOMBO;936;0;1;3;0.0;D
AL;Barra de Santo Antônio;REGIÃO COSTA DOS CORAIS;0;0;6;28;0.0;D
AL;Barra de São Miguel;REGIÃO CAMINHO DAS ÁGUAS;8.936;207;11;89;2546565.0;C
AL;Belo Monte;REGIÃO CÂNION DO SÃO FRANCISCO;0;0;0;0;0.0;E
AL;Boca da Mata;REGIÃO DO AGRESTE;0;0;1;2;0.0;D
AL;Campo Alegre;REGIÃO DO AGRESTE;1.005;0;0;0;0.0;D
AL;Chã Preta;REGIÃO DO QUILOMBO;0;0;0;0;0.0;E
AL;Coqueiro Seco;REGIÃO CAMINHO DAS ÁGUAS;6.160;0;0;0;0.0;D
AL;Coruripe;REGIÃO CAMINHO DAS ÁGUAS;40.254;311;8;45;0.0;C
AL;Delmiro Gouveia;REGIÃO CÂNION DO SÃO FRANCISCO;35.777;0;11;26;59462.0;C
AL;Feliz Deserto;REGIÃO CAMINHO DAS ÁGUAS;4.293;0;0;0;0.0;D
AL;Ibateguara;REGIÃO DO QUILOMBO;6.160;0;0;0;0.0;D
AL;Japaratinga;REGIÃO COSTA DOS CORAIS;42.919;730;21;260;1403838.0;B
AL;Jequiá da Praia;REGIÃO CAMINHO DAS ÁGUAS;6.553;0;0;0;0.0;D
AL;Junqueiro;REGIÃO DO AGRESTE;15.574;0;2;8;0.0;D
AL;Lagoa da Canoa;REGIÃO DO AGRESTE;0;91;0;0;0.0;D
AL;Limoeiro de Anadia;REGIÃO DO AGRESTE;0;0;0;0;0.0;E
AL;Maceió;Grande Maceió;1.448.550;78.259;124;3.081;478000000000000,00;A
AL;Major Isidoro;REGIÃO DA CAATINGA;9.659;0;1;4;0.0;D
AL;Maragogi;REGIÃO COSTA DOS CORAIS;297.357;19.347;36;1.276;24800000000000,00;A
AL;Maravilha;REGIÃO DA CAATINGA;0;0;0;0;0.0;E
AL;Marechal Deodoro;REGIÃO CAMINHO DAS ÁGUAS;22.032;791;11;125;251240.0;C
AL;Maribondo;REGIÃO DO QUILOMBO;0;0;0;0;0.0;E
AL;Mar Vermelho;REGIÃO DO QUILOMBO;3.499;0;0;0;0.0;D
AL;Mata Grande;REGIÃO DA CAATINGA;2.837;0;0;0;0.0;D
AL;Murici;REGIÃO DO QUILOMBO;6.160;0;1;0;0.0;D
AL;Olho d'Água das Flores;REGIÃO DA CAATINGA;0;0;0;0;0.0;E
AL;Olho d'Água do Casado;REGIÃO CÂNION DO SÃO FRANCISCO;0;0;0;0;0.0;E
AL;Palmeira dos Índios;REGIÃO DO AGRESTE;68.851;182;5;24;0.0;C
